,Bayonetta,Bowser,Bowser Jr.,Captain Falcon,Chrom,Cloud,Corrin,Daisy,Dark Pit,Dark Samus,Diddy Kong,Donkey Kong,Dr. Mario,Duck Hunt,Falco,Fox,Ganondorf,Greninja,Ice Climbers,Ike,Incineroar,Inkling,Isabelle,Jigglypuff,Ken,King Dedede,King K. Rool,Kirby,Link,Little Mac,Lucario,Lucas,Lucina,Luigi,Mario,Marth,Mega Man,Meta Knight,Mewtwo,Mii Brawler,Mii Gunner,Mii Swordfighter,Mr. Game and Watch,Ness,Olimar,Pac Man,Palutena,Peach,Pichu,Pikachu,Piranha Plant,Pit,Pokemon Trainer,R.O.B.,Richter,Ridley,Robin,Rosalina,Roy,Ryu,Samus,Sheik,Shulk,Simon,Snake,Sonic,Toon Link,Villager,Wario,Wii Fit Trainer,Wolf,Yoshi,Young Link,Zelda,Zero Suit Samus
Fox,0,0.116,0,-0.312,-0.091,-0.227,1.333,-0.182,0.2,0.778,0.143,0.25,-0.2,0.667,0.636,MM,-0.118,0.412,-1,0,-0.8,-0.173,-0.286,-0.5,-0.429,-0.167,-0.167,-0.143,-0.422,0.167,-0.25,-0.111,0.083,-0.375,-0.037,0,-0.043,-0.222,0.2,-0.2,0,0.5,0.833,-0.471,-0.083,-0.286,-0.286,0.222,-0.065,-0.111,0.533,0.667,0.129,-0.036,-0.529,0.053,0.208,-,-0.25,-0.5,0.05,1,-0.263,-0.2,-0.184,0.167,-0.333,1,-0.333,0.25,-0.09,-0.098,0.225,0.1,-0.368
Ganondorf,0,-0.047,0.059,0.237,0.15,0.146,0.167,0.091,0.32,0.13,0.2,-0.219,0.062,-0.6,0.778,0.118,MM,0,0.385,0.037,0.189,-0.219,0.474,-0.161,0.5,-0.266,0.053,-0.2,-0.052,0.138,0.176,-0.143,0.096,0.154,0.067,0.273,-0.211,-0.182,0.5,1,-1,0,-0.182,-0.365,-1.083,-0.212,0.032,-0.029,0.05,-0.286,0.269,0.091,-0.081,-0.171,-0.3,-0.208,0.091,-0.143,-0.024,-0.333,-0.381,0.333,0.036,0.077,-0.192,0,-0.25,-0.4,-0.2,0.455,-0.01,-0.396,0.036,-0.211,-0.062
Greninja,-0.077,-0.348,0.5,0.143,-0.2,0.061,-,-0.222,0.5,-0.75,-0.333,-0.059,-0.333,0.111,-0.05,-0.412,0,MM,-1,0.176,-0.143,-0.372,0.111,0,0,0,0.111,0.111,-0.037,0,0.667,-0.167,0.477,-0.25,0.389,-0.429,0.2,-0.111,0.5,-0.667,0,0.308,-0.455,-0.3,0.647,-0.8,0.133,-0.206,0,0.6,0.333,-0.5,-0.212,-0.36,-0.273,-0.182,-0.25,1,0.212,-,0.28,0.5,-0.143,0,-0.381,-0.4,0,0.111,-0.385,0.333,-0.081,0.179,0.143,-0.304,0.429
Ice Climbers,-,-0.143,-,0,0,0.2,-1,-0.333,-1,-,-,-0.333,-1,-0.5,0.333,1,-0.385,1,MM,0,-1,-0.667,0,-,-,-1,-1,-1,0.167,1,-,-,-0.556,-1,1,1,-0.714,0.333,-,-,-1,-,-1,-1,-0.333,-1,0.429,0,-0.143,1,0,-0.5,0.2,-1,-1,0,1,-,0.5,-1,-0.6,-0.333,-0.667,-0.5,1,-0.333,-1,-,0.5,-1,-0.375,-0.5,-1,-1,-1
Ike,0,-0.423,0,-0.067,-0.154,0.269,0.333,0.111,-0.222,0.111,-0.333,0.038,-0.538,-0.333,0.125,0,-0.037,-0.176,0,MM,0.588,-0.095,0.167,-0.333,1,-0.164,-0.36,-0.103,0.143,0.143,0.143,-0.2,0.071,-0.154,0.348,0,0.2,-0.75,0.111,0.429,0,-0.273,0,0,-0.077,-0.2,-0.038,-0.194,0.1,0.583,-0.235,0,-0.235,-0.083,-0.28,-0.208,0.556,-0.2,0,0,-0.083,1,-0.2,-0.667,-0.163,-0.517,-0.032,-0.625,0.091,0.316,-0.141,-0.074,-0.154,-0.02,-0.278
Incineroar,0.333,-0.371,-0.333,0,-0.1,0,-,-0.333,0.25,-0.6,-0.333,-0.368,-0.143,0.5,-0.222,0.8,-0.189,0.143,1,-0.588,MM,-0.225,-0.5,0.545,0.273,0,0.167,0.167,-0.034,0,0.333,0.667,0.059,0.333,0,0.333,-1,0.333,-1,1,-0.429,-0.25,0.2,-0.053,0.273,-1,-0.115,-0.333,0.432,-0.04,0.294,0.25,0.133,-0.368,-0.556,-0.167,-0.75,-1,0,1,-0.5,0.5,-0.143,-,-0.217,-0.222,-0.077,0.25,-0.111,0,-0.102,-0.187,-0.375,0,-0.071
Inkling,0.091,-0.038,0.1,-0.125,0.312,0.324,0.2,-0.261,0.474,0.577,0,0.141,-0.161,0.8,0.412,0.173,0.219,0.372,0.667,0.095,0.225,MM,-0.111,-0.138,0.333,-0.229,0.111,0.294,0.299,-0.133,0.444,0.127,0.32,-0.263,0.1,0.7,0.217,-0.2,0.4,0.455,0.222,0.08,-0.368,0,-0.382,0,0.033,0.079,0.118,0.018,0.394,0.043,-0.037,-0.298,-0.151,0.018,0.125,0,0.266,0,0.125,0.6,-0.122,-0.176,-0.176,0.292,0.085,-0.357,0.182,0.167,0.115,-0.252,0.079,-0.091,-0.29
Isabelle,1,0.238,0.333,-0.111,-0.333,-0.231,-1,-0.333,-1,0,0,0.077,-0.333,-,0.111,0.286,-0.474,-0.111,0,-0.167,0.5,0.111,MM,1,-,-0.231,-0.231,1,-0.222,-1,-,0,0.467,-0.333,0.333,1,-0.714,-1,-1,0.25,-1,-0.6,0,-0.167,0.333,-1,0.2,0.231,-0.4,-0.5,0.294,0.5,0.034,-0.467,-0.667,-0.286,-0.333,-1,-0.222,1,-0.5,-,-0.5,0,-0.385,0.375,0,-0.176,0.333,0.143,-0.385,-0.368,0.2,-0.778,0.333
Jigglypuff,-0.5,-0.14,1,0.091,0.091,0.143,0.714,-1,1,-1,0.143,-0.31,-0.167,-0.6,0,0.5,0.161,0,-,0.333,-0.545,0.138,-1,MM,1.5,-0.294,-0.167,0.4,-0.259,-0.154,-0.2,-0.538,-0.135,-0.3,0.167,0,-0.455,-1,-0.333,1,0.333,-0.6,0,0,0,0.111,-0.1,-0.8,-0.043,-1,0,0,-0.064,-0.286,-0.5,0.6,0.333,-,-0.45,1,-1,0.6,-0.429,1,-0.647,-0.714,-0.6,-0.385,0.2,0.429,-0.152,-0.481,0.364,-0.4,-0.4
Ken,-1,-0.333,-1,-0.167,-,-0.143,-,-,-,-1,0.333,0,-,-,-1,0.429,-0.5,0,-,-1,-0.273,-0.333,-,-1.5,MM,-0.143,-,1,-0.636,-,-,0.143,0,-0.667,-,-,-1,-,-1,-,-1,-1,-1,-1,-1,-1,-0.111,-,0,0.333,1,-,0.333,-0.778,-0.6,-1,1,0.333,-0.5,-,0,-,-1,-,-0.333,-0.429,-,-,-0.6,-1,0.25,0,0.667,-1,-1
